canonical_id,stage,score,source_file
ATP-HTVS-4F22ABB48DC5,HTVS,-3.15489676990073,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4F22ABB48DC5,HTVS,-1.83400865364042,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4F450E2E91A2,HTVS,-4.9457723187918,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4F5A90394674,HTVS,-3.62268826025007,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-4F5A90394674,HTVS,-2.921729722271,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-4F5A90394674,HTVS,-1.90370929313168,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-4F9099514318,HTVS,-2.24190123643593,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4F9099514318,HTVS,-0.777444366315452,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4F9E5F08F37F,HTVS,-4.3077129247582,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4F9E5F08F37F,HTVS,-3.9547333296914,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4F9E5F08F37F,HTVS,-3.173203657076,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-4FCAA645F202,HTVS,-3.88704986552746,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4FCAA645F202,HTVS,-3.37409389413073,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4FCAA645F202,HTVS,-3.23204187449161,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4FCAA645F202,HTVS,-2.44854922434757,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-4FDD59ABF895,HTVS,-3.70166899493297,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-505E03B882A0,HTVS,-3.80434624440615,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-505E03B882A0,HTVS,-2.16392481819272,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-507C96D672B3,HTVS,-5.71813257964719,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-507C96D672B3,HTVS,-5.32284882406495,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-507C96D672B3,HTVS,-3.59140172791042,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-507C96D672B3,HTVS,-2.99369079595363,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-507C96D672B3,HTVS,-2.54156099005006,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-507C96D672B3,HTVS,-2.51303345733654,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz
ATP-HTVS-508A27B63548,HTVS,-5.15063493037038,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-508A27B63548,HTVS,-2.06286442952055,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae
ATP-HTVS-50911053B2F5,HTVS,-3.73858985895772,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
ATP-HTVS-50911053B2F5,HTVS,-3.51685980326381,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib
