profile,compound_id,historical_alias,rank,central_rank,final_score,mean_rank,p_top3,p_top5
balanced,ATP-HTVS-2801EC41FD47,97569,,,,,,
balanced,ATP-HTVS-2818D10B14C2,35009,,,,,,
balanced,ATP-HTVS-286379397336,30625,,,,,,
balanced,ATP-HTVS-28D90B8D287A,81475,,,,,,
balanced,ATP-HTVS-28F6129F8E3C,70305,,,,,,
balanced,ATP-HTVS-2912F4F66BA1,81186,,,,,,
balanced,ATP-HTVS-291AE177F52E,43107,,,,,,
balanced,ATP-HTVS-2A14F6A33EFE,2018,,,,,,
balanced,ATP-HTVS-2A420AE0278C,57730,,,,,,
balanced,ATP-HTVS-2A473A7CBE48,82306,,,,,,
balanced,ATP-HTVS-2A6980A94AB8,12579,,,,,,
balanced,ATP-HTVS-2A91244EC1AD,33347,,,,,,
balanced,ATP-HTVS-2AC4031F681F,85858,,,,,,
balanced,ATP-HTVS-2AD5F3716208,34434,,,,,,
balanced,ATP-HTVS-2AFCB32282C0,34529,,,,,,
balanced,ATP-HTVS-2B2381835080,40034,,,,,,
balanced,ATP-HTVS-2B54247B4108,84161,,,,,,
balanced,ATP-HTVS-2B683AA1DF30,89507,,,,,,
balanced,ATP-HTVS-2B725536FCE2,99329,,,,,,
balanced,ATP-HTVS-2B784D1D7344,72482,,,,,,
balanced,ATP-HTVS-2C366CB23264,58529,,,,,,
balanced,ATP-HTVS-2C5504015D66,57538,,,,,,
balanced,ATP-HTVS-2C72C850E8DC,37538,,,,,,
balanced,ATP-HTVS-2C852BECD08A,27585,,,,,,
balanced,ATP-HTVS-2C8A8FE641B8,72034,,,,,,
balanced,ATP-HTVS-2CB691E3F247,42273,,,,,,
balanced,ATP-HTVS-2CD40FD4C79D,61539,,,,,,
balanced,ATP-HTVS-2CDCEBF2F10D,77889,,,,,,
balanced,ATP-HTVS-2D0B83E336C6,42274,,,,,,
balanced,ATP-HTVS-2D571D26B6AC,90529,,,,,,
balanced,ATP-HTVS-2D5D363D0DBE,30818,,,,,,
balanced,ATP-HTVS-2DA674675DE4,42977,,,,,,
balanced,ATP-HTVS-2DB2F1DB5A18,61571,,,,,,
balanced,ATP-HTVS-2DB2F8E5543E,82081,,,,,,
balanced,ATP-HTVS-2DBBB7EE3EAF,40130,,,,,,
balanced,ATP-HTVS-2E0BAC8D644B,87746,,,,,,
balanced,ATP-HTVS-2E3C44D093AA,17857,,,,,,
balanced,ATP-HTVS-2E3E6C1A8749,91843,,,,,,
balanced,ATP-HTVS-2E4BDA1C28D9,99937,,,,,,
balanced,ATP-HTVS-2E7AE7689BA0,25602,,,,,,
balanced,ATP-HTVS-2ECA33AB7628,73634,,,,,,
balanced,ATP-HTVS-2EE3FF4CB435,49219,,,,,,
balanced,ATP-HTVS-2F35A8572662,23459,,,,,,
balanced,ATP-HTVS-2F483D9FE7EF,3937,,,,,,
balanced,ATP-HTVS-2F9574F7896C,85185,,,,,,
balanced,ATP-HTVS-2F9E11536268,92386,,,,,,
balanced,ATP-HTVS-2FD0321978A1,47427,,,,,,
balanced,ATP-HTVS-2FDBF4F6464D,85218,,,,,,
balanced,ATP-HTVS-2FF622879777,92707,,,,,,
balanced,ATP-HTVS-30270CEE1891,59297,,,,,,
balanced,ATP-HTVS-305D97AD9924,74114,,,,,,
balanced,ATP-HTVS-30920D5A25EC,68290,,,,,,
balanced,ATP-HTVS-30B3F39EA660,48035,,,,,,
balanced,ATP-HTVS-30BD0ED907F3,32770,,,,,,
balanced,ATP-HTVS-30D2448AA284,71137,,,,,,
balanced,ATP-HTVS-3100283A95A9,60066,,,,,,
balanced,ATP-HTVS-313D067647DC,54849,,,,,,
balanced,ATP-HTVS-31B048FE5E9A,99298,,,,,,
balanced,ATP-HTVS-322651E221E8,67842,,,,,,
balanced,ATP-HTVS-323526AAC152,84355,,,,,,
balanced,ATP-HTVS-3254A7EDB406,72033,,,,,,
balanced,ATP-HTVS-327AC6849941,85090,,,,,,
balanced,ATP-HTVS-32D1D0195572,89443,,,,,,
balanced,ATP-HTVS-33706D459A7A,91618,,,,,,
balanced,ATP-HTVS-337D10985B1B,47106,,,,,,
balanced,ATP-HTVS-33BC72D3D2BF,81217,,,,,,
balanced,ATP-HTVS-34AD6DA38229,96929,,,,,,
balanced,ATP-HTVS-34E58924FFDD,63425,,,,,,
balanced,ATP-HTVS-351CA3F2F79F,84738,,,,,,
balanced,ATP-HTVS-35279CDCCBE9,29026,,,,,,
balanced,ATP-HTVS-354B8B3BDEB4,62498,,,,,,
balanced,ATP-HTVS-3565F86F920E,47203,,,,,,
balanced,ATP-HTVS-357411F5F88B,74113,,,,,,
balanced,ATP-HTVS-35C3F0A919D0,82019,,,,,,
balanced,ATP-HTVS-35F96912410D,85538,,,,,,
balanced,ATP-HTVS-362E300BB66B,5762,,,,,,
balanced,ATP-HTVS-3634D47351B0,22754,,,,,,
balanced,ATP-HTVS-3654BFD7575B,81409,,,,,,
balanced,ATP-HTVS-366F4BAC4B87,78434,,,,,,
balanced,ATP-HTVS-3676162553B8,62241,,,,,,
balanced,ATP-HTVS-368B62E0C748,29569,,,,,,
balanced,ATP-HTVS-369F0F09D6A7,81955,,,,,,
balanced,ATP-HTVS-36CDFE25DCA8,48866,,,,,,
balanced,ATP-HTVS-37164D6EE04D,58531,,,,,,
balanced,ATP-HTVS-375881F1CECF,69635,,,,,,
balanced,ATP-HTVS-37921E17B72D,72225,,,,,,
balanced,ATP-HTVS-37A579E82C38,28641,,,,,,
balanced,ATP-HTVS-37D34080A09D,36291,,,,,,
balanced,ATP-HTVS-37EC6A305554,73986,,,,,,
balanced,ATP-HTVS-37F8BE6B2288,68929,,,,,,
balanced,ATP-HTVS-381C421540AF,67234,,,,,,
balanced,ATP-HTVS-38928739B049,49763,,,,,,
balanced,ATP-HTVS-389B4B823B19,92545,,,,,,
balanced,ATP-HTVS-38AA30AE7592,4258,,,,,,
balanced,ATP-HTVS-38B17C32C2B1,90305,,,,,,
balanced,ATP-HTVS-38BDED367A54,94307,,,,,,
balanced,ATP-HTVS-391C9D64EC7D,20547,,,,,,
balanced,ATP-HTVS-394457ED9ABE,67073,,,,,,
balanced,ATP-HTVS-3966CEFE893D,72705,,,,,,
balanced,ATP-HTVS-397149B089BD,39490,,,,,,
balanced,ATP-HTVS-3991B5D40CBE,95969,,,,,,
balanced,ATP-HTVS-39B6454C3B57,69027,,,,,,
balanced,ATP-HTVS-39C66FA1D927,91619,,,,,,
balanced,ATP-HTVS-3A2C3DD6A630,99105,,,,,,
balanced,ATP-HTVS-3A4856D72337,84225,,,,,,
