scaffold,scaffold_size,best_candidate,best_vina_affinity,cluster_count,isolated_scaffold
O=C(CCc1ccccc1)Nc1[nH+]cc(NCc2ccccc2)c2ccccc12,1,ATP-HTVS-EB51C7366B34,-8.592,1,True
c1ccc(Cn2cc(C[NH2+]CC(c3ccccc3)N3CCCC3)c(-c3cccnc3)n2)cc1,1,ATP-HTVS-B7CF3B4EBACD,-8.58,1,True
c1ccc(CNc2cc(-c3ccccc3)nc3ccccc23)cc1,1,ATP-HTVS-D1A5509321EA,-8.579,1,True
O=C(Cc1ccccc1)n1nc(-c2ccccn2)cc1CC[NH2+]Cc1ccccc1,1,ATP-HTVS-E20398B5FF99,-8.576,1,True
O=C(Cn1c(=O)nc(-c2ccccc2)c2ccccc21)Nc1ccccc1,1,ATP-HTVS-675D7E7E37EF,-8.573,1,True
c1ccc(C[NH2+]CCc2nc3ccccc3n2-c2ccccc2)cc1,1,ATP-HTVS-E78B37070E90,-8.572,1,True
O=C(C#Cc1ccccc1)Nc1ccc(NCc2ccccc2)cn1,1,ATP-HTVS-98E751432A52,-8.568,1,True
O=C(Cc1ccccc1)N=c1[nH]cc(NCCc2ccccc2)c2ccccc12,1,ATP-HTVS-FEA784CAFC0E,-8.534,1,True
c1ccc(Cn2cc(C[NH2+]CC(c3cccnc3)N3CCCC3)c(-c3ccccc3)n2)cc1,1,ATP-HTVS-DFB30BBC8B3D,-8.534,1,True
c1ccc(CCNc2nc(NCCOc3ccccc3)c3ccccc3[nH+]2)cc1,1,ATP-HTVS-4019997F6E4F,-8.509,1,True
c1ccc(CCNc2nc(NCc3ccc4c(c3)OCO4)[nH+]c3ccccc23)cc1,1,ATP-HTVS-18044BD9974D,-8.492,1,True
c1ccc(CCNc2ncc(-c3ccccc3)c3ccccc23)cc1,1,ATP-HTVS-C97E366A40B5,-8.491,1,True
C(#CC([NH2+]Cc1ccccc1)c1csc2ccccc12)c1ccccc1,1,ATP-HTVS-21D2D8C367A1,-8.477,1,True
O=C(NCc1ccccc1)Nc1[nH+]c2ccccc2n1CCCc1ccccc1,1,ATP-HTVS-E35DF7DBF452,-8.476,1,True
c1ccc(C(C[NH2+]Cc2cn(-c3ccccc3)nc2-c2ccncc2)N2CCCC2)cc1,1,ATP-HTVS-96C7A2856398,-8.476,1,True
O=C(CNc1nc(NCc2ccccc2)c2ccccc2[nH+]1)NCc1ccccc1,1,ATP-HTVS-18CFABF6753A,-8.473,1,True
O=C(C#Cc1ccccc1)Nc1c[nH+]c2ccccc2c1NCc1ccccc1,1,ATP-HTVS-EFE421C91038,-8.468,1,True
O=C(Cc1nn(-c2ccccc2)c(=O)c2ccccc12)Nc1ccccc1,1,ATP-HTVS-BE0949FFEA46,-8.461,1,True
c1ccc(N2CC[NH2+]CC2)c(C[NH2+]Cc2cccc3ccccc23)c1,1,ATP-HTVS-DCC6353C2378,-8.46,1,True
