canonical_id,canonical_smiles,glide_docking_score,structure_valid,ligand_prepared,vina_available,pose_qc_pass,failure_category,failure_reason,terminal_status
ATP-HTVS-1402A7ED8177,C[NH+](C)[C@@H](CNc1cc(COc2ccccc2)[nH+]c2ccc(O)cc12)c1ccc(F)cc1,-5.06327281392812,True,True,True,True,,,success
ATP-HTVS-143D46541936,CN(Cc1ccccc1)C(=O)c1cc(NCc2ccc(C[NH+](C)C)cc2)cs1,-3.86812266389345,True,True,True,True,,,success
ATP-HTVS-1449F4F4BA71,Cc1ccc(C(=O)c2cnc3ccc(F)cc3c2N(CC[NH3+])Cc2ccc(F)cc2)cc1,-6.21958526920677,True,True,True,True,,,success
ATP-HTVS-14724C615932,Cc1cc(C)c(C[NH2+][C@@H](Cc2ccccc2)CN(C)C)c(OCc2ccccc2)n1,-3.29507612750316,True,True,True,True,,,success
ATP-HTVS-14AE04B6952B,CC(C)Nc1ccc(CNc2nc(N[C@@H](CC(N)=O)c3ccccc3)c3ccccc3[nH+]2)cc1,-4.47370169161169,True,True,True,True,,,success
ATP-HTVS-14BA2D75CE49,C[NH+](C)[C@@H](CNc1cc(COc2ccccc2)[nH+]c2c([O-])cccc12)c1ccc(F)cc1,-3.54257727891752,True,True,True,True,,,success
ATP-HTVS-1551732D1515,Cc1cc(OCc2ccc(C[NH2+]Cc3ccccc3NCCO)o2)ccc1Cl,-3.86577494528237,True,True,True,True,,,success
ATP-HTVS-159795FE363C,N#Cc1ccccc1CC(=O)Nc1nc2ccccc2cc1C#C[C@@H]([NH3+])Cc1cccc(F)c1,-5.28912059855985,True,True,True,True,,,success
ATP-HTVS-159959ECB567,C[NH+](C)Cc1cccc(CNc2c(NC(=O)c3cc(F)cc(F)c3)c[nH+]c3ccccc23)c1,-5.28054980478574,True,True,True,True,,,success
ATP-HTVS-159CD8CCFA6D,COc1cccc(F)c1C[NH2+]C[C@H]1c2ccccc2C(=O)N1Cc1ccccc1,-5.41069228280643,True,True,True,True,,,success
ATP-HTVS-159F0F821AF9,C#Cc1ccccc1NC(=O)c1sc(Cl)cc1NCc1cccc(C[NH+](C)C)c1,-4.07684671932549,True,True,True,True,,,success
ATP-HTVS-15A0030054C0,C[NH+](C)Cc1ccc(CNc2cnc3ccccc3c2NC(=O)C#Cc2ccccc2)cc1,-4.26158179087582,True,True,True,True,,,success
ATP-HTVS-15F2A5DBBD51,CC[N@H+](Cc1ccc(C[NH+](C)C)cc1)Cc1ccc(COc2ccc(Cl)c(C)c2)o1,-5.75577483810029,True,True,True,True,,,success
