canonical_id,vina_affinity,glide_docking_score,vina_rank,glide_rank,rank_delta,abs_rank_delta,disagreement_class,scaffold
ATP-HTVS-52495E42CB55,-8.903,-4.24639373005308,167,805,-638,638,vina_favored,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1
ATP-HTVS-62D29CE4051A,-8.029,-2.40287405166579,817,1455,-638,638,vina_favored,c1ccc(CNc2cccnc2Oc2ccccc2)cc1
ATP-HTVS-773D20A649CC,-8.016,-2.3269318805952,827,1465,-638,638,vina_favored,O=C(Nc1ncc(NCc2ccccc2)cc1-n1cccc1)c1ccccc1
ATP-HTVS-8BF32585E280,-8.688,-4.02835975515627,295,931,-636,636,vina_favored,O=C(Cc1ccccc1)Nc1c(NCCc2ccccc2)cnc2ccccc12
ATP-HTVS-3E51FD2FD256,-7.896,-4.99026263354057,932,297,635,635,glide_favored,c1ccc(C[NH2+]Cc2ccc(Oc3ccccc3)nc2)cc1
ATP-HTVS-6778D00A26F1,-8.677,-4.02076398578119,301,936,-635,635,vina_favored,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1
ATP-HTVS-AC48CD61B4D9,-7.938,-5.04243611504985,902,268,634,634,glide_favored,O=C(Nc1nc2ccccc2cc1NCCSc1ccccc1)c1ccccc1
ATP-HTVS-AB5D2E649063,-8.051,-5.32685969970335,799,165,634,634,glide_favored,O=C(Cc1ccccc1)Nc1cc(NCc2ccccc2)cc[nH+]1
ATP-HTVS-FC28EB1BA5EE,-8.672,-4.01867650326417,305,938,-633,633,vina_favored,O=C(Nc1c(NCc2ccccc2)cnc2ccccc12)c1ccccc1
ATP-HTVS-A343C43AF9EC,-7.95,-1.75974619112291,897,1530,-633,633,vina_favored,c1ccc(CCNCc2c(OCc3ccccc3)ccc3ccccc23)cc1
ATP-HTVS-1FAE7495FCDD,-7.895,-4.97918472610383,935,302,633,633,glide_favored,O=C(Nc1c[nH+]c2ccccc2c1NCc1ccccc1)c1ccccc1
ATP-HTVS-31B048FE5E9A,-8.666,-4.0113738311198,309,942,-633,633,vina_favored,O=C(Cc1ccccc1)Nc1ncc(NCc2ccccc2)c2ccccc12
ATP-HTVS-403847D949CB,-7.81,-4.87086214172474,997,365,632,632,glide_favored,O=C(Nc1cc(NCc2ccccc2)ccn1)c1ccccc1
