canonical_id,protocol_uncertainty,model_uncertainty,model_disagreement_if_available,model_uncertainty_status,objective_uncertainty,evidence_uncertainty,chemical_space_uncertainty,combined_available_uncertainty,uncertainty_available_components,uncertainty_dominant_source,distance_to_decision_boundary
ATP-HTVS-0F6915EAEEA3,0.3247549019607843,,,not_available_no_comparable_full_library_model_outputs,0.23185647892859979,0.1428571428571429,0.6568775983376735,0.3390865305210501,4,chemical_space,212.0
ATP-HTVS-0F755B78CCFB,0.09987745098039216,,,not_available_no_comparable_full_library_model_outputs,0.1835477279730396,0.1428571428571429,0.20733059376615903,0.15840322889418343,4,chemical_space,702.5
ATP-HTVS-0F900EB338B9,0.25919117647058826,,,not_available_no_comparable_full_library_model_outputs,0.21400576029739837,0.1428571428571429,0.898102476454747,0.3785391390199691,4,chemical_space,335.5
ATP-HTVS-0FD0361A2408,0.09620098039215687,,,not_available_no_comparable_full_library_model_outputs,0.027422044346021083,0.1428571428571429,0.6363033379844186,0.22569587639493488,4,chemical_space,550.5
ATP-HTVS-0FDC7A3FF1CA,0.7849264705882353,,,not_available_no_comparable_full_library_model_outputs,0.32491567130207305,0.1428571428571429,0.4344698872664556,0.4217922930034767,4,protocol,592.5
ATP-HTVS-103E90EA5971,0.25306372549019607,,,not_available_no_comparable_full_library_model_outputs,0.196185163398824,0.1428571428571429,0.5256206695802796,0.2794316753316106,4,chemical_space,721.5
ATP-HTVS-106685DD3ACA,0.08762254901960784,,,not_available_no_comparable_full_library_model_outputs,0.15262973375698574,0.1428571428571429,0.23601397629346837,0.15478085048180124,4,chemical_space,765.5
ATP-HTVS-10900B51E20F,0.47549019607843135,,,not_available_no_comparable_full_library_model_outputs,0.19230362268338372,0.1428571428571429,0.617690674003707,0.35708540890566626,4,chemical_space,582.0
ATP-HTVS-109B405B023F,0.0024509803921568627,,,not_available_no_comparable_full_library_model_outputs,0.5712191441954997,0.1428571428571429,0.3674332956380979,0.27099014077072436,4,objective,1489.0
ATP-HTVS-10A4E2B2EADA,0.3590686274509804,,,not_available_no_comparable_full_library_model_outputs,0.07281263118532272,0.1428571428571429,0.7741284623457786,0.3372167159598062,4,chemical_space,739.0
ATP-HTVS-11489B74AE1C,0.17769607843137256,,,not_available_no_comparable_full_library_model_outputs,0.09820149952881607,0.1428571428571429,0.269339614460358,0.1720235838194224,4,chemical_space,315.0
ATP-HTVS-115B93EFBC96,0.28431372549019607,,,not_available_no_comparable_full_library_model_outputs,0.2611180090191094,0.1428571428571429,0.898102476454747,0.39659783845529883,4,chemical_space,856.0
ATP-HTVS-11C14F34C5FE,0.20772058823529413,,,not_available_no_comparable_full_library_model_outputs,0.19106229063714028,0.1428571428571429,0.8760259858910316,0.3544165019051523,4,chemical_space,592.5
ATP-HTVS-11CEFB3A39DF,0.43933823529411764,,,not_available_no_comparable_full_library_model_outputs,0.23501733139946596,0.1428571428571429,0.7978070917199959,0.4037549503176806,4,chemical_space,529.5
ATP-HTVS-11E35EA06531,0.20955882352941177,,,not_available_no_comparable_full_library_model_outputs,0.07138630042213455,0.1428571428571429,0.19430742936424072,0.1545274240432325,4,protocol,541.0
ATP-HTVS-125A7E13CFB1,0.15318627450980393,,,not_available_no_comparable_full_library_model_outputs,0.47862562763975586,0.1428571428571429,0.7653433174868927,0.3850030906233989,4,chemical_space,1131.0
ATP-HTVS-12CEF0BA8B10,0.3272058823529412,,,not_available_no_comparable_full_library_model_outputs,0.29951417429294586,0.1428571428571429,1.0,0.4423942998757575,4,chemical_space,1022.0
ATP-HTVS-132672672DF9,0.0055147058823529415,,,not_available_no_comparable_full_library_model_outputs,0.1709148270046728,0.1428571428571429,0.27982928831610165,0.1497789910150676,4,chemical_space,565.5
