canonical_id,recommended_next_evidence,voi_proxy,voi_potential_decision_change,voi_uncertainty,voi_evidence_importance,acquisition_cost,protocol_uncertainty,rank_boundary_proximity,scaffold_novelty,evidence_uncertainty
ATP-HTVS-767E37D8A78C,Prime MM/GBSA under one reviewed frozen protocol,0.0008001707810325742,0.12714460784313725,0.26724543557861347,0.23549107142857145,10.0,0.2542892156862745,0.0,0.312875576684143,0.1428571428571429
ATP-HTVS-FFD71C24E98D,Prime MM/GBSA under one reviewed frozen protocol,0.0007981591952813269,0.06587009803921569,0.27377315886014075,0.4425989145658264,10.0,0.13174019607843138,0.0,0.4803249158044297,0.1428571428571429
ATP-HTVS-FDB0B4A5AF84,Prime MM/GBSA under one reviewed frozen protocol,0.0007921738549905166,0.08700980392156862,0.36771752317034195,0.24759278711484595,10.0,0.17401960784313725,0.0,0.7520519717820633,0.1428571428571429
ATP-HTVS-57B04A124BC1,Prime MM/GBSA under one reviewed frozen protocol,0.000791010495801134,0.09037990196078431,0.2970617397614398,0.2946209733893558,10.0,0.18075980392156862,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-4697A006B393,Prime MM/GBSA under one reviewed frozen protocol,0.0007907363632396697,0.07383578431372549,0.3317581046517817,0.3228072478991597,10.0,0.14767156862745098,0.0,1.0,0.1428571428571429
ATP-HTVS-545253A9A90F,Prime MM/GBSA under one reviewed frozen protocol,0.0007857782838537701,0.08333333333333333,0.2970378419328433,0.31744572829131656,10.0,0.16666666666666666,0.0,0.21086614044181184,0.1428571428571429
ATP-HTVS-CAF3F282F1EC,Prime MM/GBSA under one reviewed frozen protocol,0.0007838741896537034,0.09865196078431372,0.35183507409912795,0.2258403361344538,10.0,0.19730392156862744,0.0,1.0,0.1428571428571429
ATP-HTVS-DDECBBA12C43,Prime MM/GBSA under one reviewed frozen protocol,0.0007756338936188419,0.11427696078431372,0.35296826178680585,0.19229254201680673,10.0,0.22855392156862744,0.0,0.7520519717820633,0.1428571428571429
ATP-HTVS-E0444895C82B,Prime MM/GBSA under one reviewed frozen protocol,0.0007744226820921777,0.12745098039215685,0.19479433173145372,0.3119310224089636,10.0,0.2549019607843137,0.0,0.161876413469915,0.1428571428571429
ATP-HTVS-B41566EF3893,Prime MM/GBSA under one reviewed frozen protocol,0.0007719310007454207,0.10324754901960784,0.19590942945821457,0.3816307773109244,10.0,0.20649509803921567,0.0,0.40438581656000827,0.1428571428571429
ATP-HTVS-9118BAC0F3E5,Prime MM/GBSA under one reviewed frozen protocol,0.000770734935862469,0.08272058823529412,0.27897042726698457,0.3339898459383754,10.0,0.16544117647058823,0.0,0.5956141834399917,0.1428571428571429
ATP-HTVS-F324B4F6FF43,Prime MM/GBSA under one reviewed frozen protocol,0.0007681638284787024,0.0821078431372549,0.25985357379612545,0.360031512605042,10.0,0.1642156862745098,0.0,0.6871244233158569,0.1428571428571429
ATP-HTVS-DB45F9B4D40D,Prime MM/GBSA under one reviewed frozen protocol,0.0007667459888854621,0.1090686274509804,0.38297588531794774,0.18356092436974794,10.0,0.2181372549019608,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-523F9B5BEE3B,Prime MM/GBSA under one reviewed frozen protocol,0.0007662174449492268,0.09895833333333333,0.1800500280945867,0.43003764005602246,10.0,0.19791666666666666,0.0,0.37424884663171376,0.1428571428571429
ATP-HTVS-1FF6C325CA7A,Prime MM/GBSA under one reviewed frozen protocol,0.0007642614986809198,0.07965686274509803,0.4248320490470815,0.22584033613445378,10.0,0.15931372549019607,0.0,1.0,0.1428571428571429
ATP-HTVS-277F9700EDE9,Prime MM/GBSA under one reviewed frozen protocol,0.0007633906914783376,0.07230392156862746,0.256192698029679,0.4121148459383754,10.0,0.14460784313725492,0.0,0.5608236049020798,0.1428571428571429
ATP-HTVS-47A17AC8C7BD,Prime MM/GBSA under one reviewed frozen protocol,0.0007631646668278025,0.041666666666666664,0.36273110113925555,0.5049457282913166,10.0,0.08333333333333333,0.0,0.6367627041465014,0.1428571428571429
ATP-HTVS-F62C08D65C28,Prime MM/GBSA under one reviewed frozen protocol,0.0007622098167746692,0.109375,0.32792211283073064,0.2125131302521009,10.0,0.21875,0.0,0.5041039435641266,0.1428571428571429
ATP-HTVS-C4D43EEF7CE1,Prime MM/GBSA under one reviewed frozen protocol,0.0007588918890335478,0.06464460784313726,0.3860154916206747,0.30411852240896364,10.0,0.12928921568627452,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-508A27B63548,Prime MM/GBSA under one reviewed frozen protocol,0.0007584490624760751,0.07628676470588236,0.21298263308443854,0.4668023459383754,10.0,0.15257352941176472,0.0,0.161876413469915,0.1428571428571429
ATP-HTVS-F60BECC0718F,Prime MM/GBSA under one reviewed frozen protocol,0.0007570851169543969,0.13112745098039216,0.3982987576689136,0.14495798319327735,10.0,0.2622549019607843,0.0,0.7520519717820633,0.1428571428571429
ATP-HTVS-18CFABF6753A,Prime MM/GBSA under one reviewed frozen protocol,0.0007563553622048436,0.0585171568627451,0.3144531142999256,0.41104254201680673,10.0,0.1170343137254902,0.0,1.0,0.1428571428571429
ATP-HTVS-BFD5BCAF9717,Prime MM/GBSA under one reviewed frozen protocol,0.0007545938448274089,0.03125,0.44982529582693226,0.5368084733893558,10.0,0.0625,0.0,1.0,0.1428571428571429
ATP-HTVS-D35090C63096,Prime MM/GBSA under one reviewed frozen protocol,0.0007545016603739473,0.060355392156862746,0.3367593382422056,0.37121411064425774,10.0,0.12071078431372549,0.0,1.0,0.1428571428571429
ATP-HTVS-D4B05735BAC4,Prime MM/GBSA under one reviewed frozen protocol,0.0007543125521083976,0.042279411764705885,0.3881860549790923,0.4596025910364146,10.0,0.08455882352941177,0.0,1.0,0.1428571428571429
ATP-HTVS-A8111C46748E,Prime MM/GBSA under one reviewed frozen protocol,0.000754205320462152,0.1056985294117647,0.22886290606007845,0.3117778361344538,10.0,0.2113970588235294,0.0,0.37424884663171376,0.1428571428571429
ATP-HTVS-C6A6F28FFA03,Prime MM/GBSA under one reviewed frozen protocol,0.0007500582212804933,0.10324754901960784,0.3980883212075379,0.1824886204481793,10.0,0.20649509803921567,0.0,0.45881416865974844,0.1428571428571429
ATP-HTVS-D68829BAAF56,Prime MM/GBSA under one reviewed frozen protocol,0.0007483665760947349,0.10202205882352941,0.24047330200385855,0.3050376400560224,10.0,0.20404411764705882,0.0,0.40438581656000827,0.1428571428571429
ATP-HTVS-FB368C7A9127,Prime MM/GBSA under one reviewed frozen protocol,0.0007470713831646337,0.11580882352941177,0.45073459092397344,0.14311974789915968,10.0,0.23161764705882354,0.0,1.0,0.1428571428571429
ATP-HTVS-B4F34B52DEEF,Prime MM/GBSA under one reviewed frozen protocol,0.0007470092597983088,0.050551470588235295,0.27630385581681255,0.5348170518207283,10.0,0.10110294117647059,0.0,0.6871244233158569,0.1428571428571429
ATP-HTVS-2485F4B11063,Prime MM/GBSA under one reviewed frozen protocol,0.0007461136903732174,0.04411764705882353,0.32449053315418613,0.5211834733893557,10.0,0.08823529411764706,0.0,0.5608236049020798,0.1428571428571429
ATP-HTVS-0E76F39BB090,Prime MM/GBSA under one reviewed frozen protocol,0.0007441359096984934,0.08363970588235294,0.2091218206463264,0.4254420518207283,10.0,0.16727941176470587,0.0,0.161876413469915,0.1428571428571429
ATP-HTVS-B847417F307C,Prime MM/GBSA under one reviewed frozen protocol,0.0007407303517704925,0.032475490196078434,0.4165770168782048,0.547531512605042,10.0,0.06495098039215687,0.0,1.0,0.1428571428571429
ATP-HTVS-C0772D58369C,Prime MM/GBSA under one reviewed frozen protocol,0.0007402992107754583,0.11060049019607843,0.34370607911369544,0.1947435224089636,10.0,0.22120098039215685,0.0,0.5608236049020798,0.1428571428571429
ATP-HTVS-3B52AE15A314,Prime MM/GBSA under one reviewed frozen protocol,0.0007387953861432271,0.14583333333333334,0.26793646004127697,0.18907563025210086,10.0,0.2916666666666667,0.0,0.05787409874735028,0.1428571428571429
ATP-HTVS-59B957CB7E9F,Prime MM/GBSA under one reviewed frozen protocol,0.000734624927059783,0.0744485294117647,0.3548499046954108,0.27807685574229696,10.0,0.1488970588235294,0.0,0.5306866349737853,0.1428571428571429
ATP-HTVS-C8D8BA0AA9EF,Prime MM/GBSA under one reviewed frozen protocol,0.0007316195689012646,0.12867647058823528,0.35679083011650303,0.15935749299719892,10.0,0.25735294117647056,0.0,0.7520519717820633,0.1428571428571429
ATP-HTVS-B0AB4541452E,Prime MM/GBSA under one reviewed frozen protocol,0.000727818092271824,0.10845588235294118,0.2253148394896895,0.2978378851540616,10.0,0.21691176470588236,0.0,0.37424884663171376,0.1428571428571429
ATP-HTVS-7C2D6468D489,Prime MM/GBSA under one reviewed frozen protocol,0.0007244611424743573,0.10079656862745098,0.35835631743030216,0.20056460084033614,10.0,0.20159313725490197,0.0,0.40438581656000827,0.1428571428571429
ATP-HTVS-9352BEE24C86,Prime MM/GBSA under one reviewed frozen protocol,0.0007229560394450394,0.03860294117647059,0.34927551789928524,0.5361957282913166,10.0,0.07720588235294118,0.0,1.0,0.1428571428571429
ATP-HTVS-B383260168BF,Prime MM/GBSA under one reviewed frozen protocol,0.0007224407151161982,0.0585171568627451,0.3058239086994895,0.40368960084033617,10.0,0.1170343137254902,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-16316C23D1E4,Prime MM/GBSA under one reviewed frozen protocol,0.0007215440617499558,0.06862745098039216,0.3494141402040571,0.3009016106442577,10.0,0.13725490196078433,0.0,0.8435622116579284,0.1428571428571429
ATP-HTVS-44A2C719C105,Prime MM/GBSA under one reviewed frozen protocol,0.0007197704011842215,0.12408088235294118,0.32330052480415794,0.17942489495798322,10.0,0.24816176470588236,0.0,0.7520519717820633,0.1428571428571429
ATP-HTVS-134FC0CB3694,Prime MM/GBSA under one reviewed frozen protocol,0.0007180652110577686,0.07077205882352941,0.22939948593206233,0.44229254201680673,10.0,0.14154411764705882,0.0,0.40438581656000827,0.1428571428571429
