canonical_id,compound_code,vina_rank,glide_rank,rank_consensus,normalized_rank_variance,rank_entropy,protocol_disagreement_score,consensus_strength
ATP-HTVS-ED186549DA4C,82466,63,677,370.0,0.03538640486831988,1.0,0.3762254901960784,0.7738970588235294
ATP-HTVS-30BD0ED907F3,32770,410,331,370.5,0.0005858060902056902,0.0,0.04840686274509804,0.7735906862745099
ATP-HTVS-41A031E7C6D2,27299,90,651,370.5,0.029541015625,1.0,0.34375,0.7735906862745099
ATP-HTVS-A4810EBC0F15,61601,277,464,370.5,0.003282335069444444,1.0,0.11458333333333333,0.7735906862745098
ATP-HTVS-BBE6E61B6745,84578,636,108,372.0,0.026167820069204154,1.0,0.3235294117647059,0.772671568627451
ATP-HTVS-FAA4B7BBA523,36065,73,673,373.0,0.03379108996539793,1.0,0.36764705882352944,0.7720588235294118
ATP-HTVS-6E53E23A0DE7,86883,395,355,375.0,0.0001501826220684352,0.0,0.024509803921568627,0.7708333333333333
ATP-HTVS-C3FA166C1ADD,36707,641,110,375.5,0.02646602643814879,1.0,0.32536764705882354,0.7705269607843137
ATP-HTVS-47675EC0C4D5,67843,611,140,375.5,0.02082291441392733,1.0,0.28860294117647056,0.7705269607843137
ATP-HTVS-C615FEE5992B,53122,688,65,376.5,0.03643139432549981,1.0,0.38174019607843135,0.7699142156862746
ATP-HTVS-39B6454C3B57,69027,342,413,377.5,0.00047316912365436367,0.0,0.04350490196078431,0.7693014705882353
ATP-HTVS-3B615F85BA41,73953,353,403,378.0,0.00023466034698193,0.0,0.030637254901960783,0.7689950980392157
ATP-HTVS-A67DD6FB98A9,70562,164,600,382.0,0.017843197327950786,1.0,0.26715686274509803,0.7665441176470589
ATP-HTVS-4F9E5F08F37F,89571,10,760,385.0,0.05279857807093425,1.0,0.45955882352941174,0.7647058823529411
ATP-HTVS-8365FF7884A6,64321,673,98,385.5,0.031033830888360252,1.0,0.35232843137254904,0.7643995098039216
ATP-HTVS-AE73BF67DB9D,5410,589,185,387.0,0.015320129277201078,1.0,0.24754901960784315,0.7634803921568627
ATP-HTVS-E0E8748999A4,82849,380,396,388.0,2.4029219530949635e-05,0.0,0.00980392156862745,0.7628676470588236
ATP-HTVS-D6043925B579,66273,773,4,388.5,0.055507590980632446,1.0,0.47120098039215685,0.7625612745098039
ATP-HTVS-DB2D048ED873,53154,295,483,389.0,0.0033175341214917334,1.0,0.11519607843137254,0.7622549019607843
ATP-HTVS-F93F310E89BE,68578,187,592,389.5,0.01539606536548443,1.0,0.24816176470588236,0.7619485294117647
ATP-HTVS-1DC16EDC7F4D,32451,652,127,389.5,0.02587130325475779,1.0,0.32169117647058826,0.7619485294117647
ATP-HTVS-5494A1B9D9EC,67939,227,552,389.5,0.009914399659986542,1.0,0.19914215686274508,0.7619485294117647
ATP-HTVS-57C145E4C4AF,91107,656,125,390.5,0.02646602643814879,1.0,0.32536764705882354,0.7613357843137255
