feature,feature_group,non_missing,coverage
morgan2048_0474,morgan,18,0.0108499095840868
morgan2048_0475,morgan,18,0.0108499095840868
morgan2048_0476,morgan,18,0.0108499095840868
morgan2048_0477,morgan,18,0.0108499095840868
morgan2048_0478,morgan,18,0.0108499095840868
morgan2048_0479,morgan,18,0.0108499095840868
morgan2048_0480,morgan,18,0.0108499095840868
morgan2048_0481,morgan,18,0.0108499095840868
morgan2048_0482,morgan,18,0.0108499095840868
morgan2048_0483,morgan,18,0.0108499095840868
morgan2048_0484,morgan,18,0.0108499095840868
morgan2048_0485,morgan,18,0.0108499095840868
morgan2048_0486,morgan,18,0.0108499095840868
morgan2048_0487,morgan,18,0.0108499095840868
morgan2048_0488,morgan,18,0.0108499095840868
morgan2048_0489,morgan,18,0.0108499095840868
morgan2048_0490,morgan,18,0.0108499095840868
morgan2048_0491,morgan,18,0.0108499095840868
morgan2048_0492,morgan,18,0.0108499095840868
morgan2048_0493,morgan,18,0.0108499095840868
morgan2048_0494,morgan,18,0.0108499095840868
morgan2048_0495,morgan,18,0.0108499095840868
morgan2048_0496,morgan,18,0.0108499095840868
morgan2048_0497,morgan,18,0.0108499095840868
morgan2048_0498,morgan,18,0.0108499095840868
morgan2048_0499,morgan,18,0.0108499095840868
morgan2048_0500,morgan,18,0.0108499095840868
morgan2048_0501,morgan,18,0.0108499095840868
morgan2048_0502,morgan,18,0.0108499095840868
morgan2048_0503,morgan,18,0.0108499095840868
morgan2048_0504,morgan,18,0.0108499095840868
morgan2048_0505,morgan,18,0.0108499095840868
morgan2048_0506,morgan,18,0.0108499095840868
morgan2048_0507,morgan,18,0.0108499095840868
morgan2048_0508,morgan,18,0.0108499095840868
morgan2048_0509,morgan,18,0.0108499095840868
morgan2048_0510,morgan,18,0.0108499095840868
morgan2048_0511,morgan,18,0.0108499095840868
morgan2048_0512,morgan,18,0.0108499095840868
morgan2048_0513,morgan,18,0.0108499095840868
morgan2048_0514,morgan,18,0.0108499095840868
morgan2048_0515,morgan,18,0.0108499095840868
morgan2048_0516,morgan,18,0.0108499095840868
morgan2048_0517,morgan,18,0.0108499095840868
morgan2048_0518,morgan,18,0.0108499095840868
morgan2048_0519,morgan,18,0.0108499095840868
morgan2048_0520,morgan,18,0.0108499095840868
morgan2048_0521,morgan,18,0.0108499095840868
morgan2048_0522,morgan,18,0.0108499095840868
morgan2048_0523,morgan,18,0.0108499095840868
morgan2048_0524,morgan,18,0.0108499095840868
morgan2048_0525,morgan,18,0.0108499095840868
morgan2048_0526,morgan,18,0.0108499095840868
morgan2048_0527,morgan,18,0.0108499095840868
morgan2048_0528,morgan,18,0.0108499095840868
morgan2048_0529,morgan,18,0.0108499095840868
morgan2048_0530,morgan,18,0.0108499095840868
morgan2048_0531,morgan,18,0.0108499095840868
morgan2048_0532,morgan,18,0.0108499095840868
morgan2048_0533,morgan,18,0.0108499095840868
morgan2048_0534,morgan,18,0.0108499095840868
morgan2048_0535,morgan,18,0.0108499095840868
morgan2048_0536,morgan,18,0.0108499095840868
morgan2048_0537,morgan,18,0.0108499095840868
morgan2048_0538,morgan,18,0.0108499095840868
morgan2048_0539,morgan,18,0.0108499095840868
morgan2048_0540,morgan,18,0.0108499095840868
morgan2048_0541,morgan,18,0.0108499095840868
